Line,Qty,Item,Unit Price,Sum Cost,Function,Link
1,1,Cambro 182612CW135 18” x 26” x 12” clear polycarbonate food storage box,39.99,39.99,Holds everything you’re fermenting,http://www.webstaurantstore.com/cambro-182612cw135-camwear-18-x-26-x-12-clear-polycarbonate-food-storage-box/214182612CWC.html
2,1,Cambro 1826CCW135 Clear Flat Lid for Food Storage Box,13.49,13.49,You need a lid.,http://www.webstaurantstore.com/cambro-1826ccw135-camwear-18-x-26-clear-flat-lid-for-food-storage-box/2141826CCWCL.html
3,2,Cambro 20PPD190 ½ size translucent polypropylene drain tray,2.49,4.98,keeps your stuff away from any moisture pooling on the bottom,http://www.webstaurantstore.com/cambro-20ppd190-1-2-size-translucent-polypropylene-drain-tray/21420PPD.html
4,1,INKBIRD Humidity and Temperature Dual-use Controller IHC-230,45,45,controls your temperature and humidity,https://www.amazon.com/Humidity-Temperature-Controller-Thermostat-Hygrostat/dp/B01J1E5LWM/ref=sr_1_1?s=industrial&ie=UTF8&qid=1490133670&sr=1-1-spons&keywords=inkbird+temperature+humidity&psc=1
5,1,"Waterproof Seedling Heat Mat 10"" x 20.75""",22.95,22.95,heating source,https://www.amazon.com/VIVOSUN-Durable-Waterproof-Seedling-Hydroponic/dp/B00P7U259C/ref=sr_1_3?s=lawn-garden&ie=UTF8&qid=1490134012&sr=1-3&keywords=seedling+heating+mat
6,1,Mini Bottle Cap Design USB Ultrasonic Humidifier,11.88,11.88,humidity source,https://www.amazon.com/BestFire-Ultrasonic-Humidifier-Diffuser-Bedroom/dp/B00XMQIGLO/ref=sr_1_9_a_it?ie=UTF8&qid=1490134140&sr=8-9&keywords=mini+usb+humidifier
7,1,USB to AC adapter,6.93,6.93,necessary to plug in humidifier,https://www.amazon.com/Universal-Colors-Adapter-Charger-Samsung/dp/B01B3SRUU0/ref=sr_1_3?ie=UTF8&qid=1490134172&sr=8-3&keywords=usb+to+ac+adapter
8,1,Reflectix 16” wide reflective insulation (Reflectix ST16025),16.25,16.25,keeps the heat in,https://www.amazon.com/Reflectix-ST16025-Staple-Insulation-Inch/dp/B000BQSYRO/ref=sr_1_1?ie=UTF8&qid=1490134360&sr=8-1&keywords=reflectix
9,1,"Reflectix FT21024 2"" x 30' Reflective Insulation Tape",4.31,4.31,holds the insulation together,https://www.amazon.com/Reflectix-FT21024-Reflective-Insulation-Tape/dp/B000BQRBB4/ref=sr_1_4?ie=UTF8&qid=1490134360&sr=8-4&keywords=reflectix
,,,,,,
,,,TOTAL,165.78,,
